merchant_id,merchant_name,merchant_segment,vertical,country,region,risk_tier,account_manager,acquisition_channel,onboarding_date,base_monthly_gmv,avg_ticket_usd,contracted_take_rate,fixed_fee_usd,active_flag
M0167,RetailPay Merchant 0167,SMB,Retail,Vietnam,VN North,Low,Ava Nguyen,Partner,2024-12-20,35225.5,44.05,0.01961,0.026,1
M0168,ServicesPay Merchant 0168,Micro,Services,Indonesia,Java,Low,Ava Nguyen,Direct Sales,2023-06-04,6275.14,75.52,0.01899,0.032,1
M0169,MarketplacePay Merchant 0169,SMB,Marketplace,Singapore,Singapore,Low,Chloe Lim,Direct Sales,2021-09-21,68658.51,36.58,0.01575,0.026,1
M0170,ServicesPay Merchant 0170,Micro,Services,Philippines,Philippines Provincial,Medium,Minh Pham,Platform Referral,2022-12-04,27966.64,94.19,0.01851,0.032,1
M0171,FoodPay Merchant 0171,Mid-Market,Food Delivery,Indonesia,Indonesia Outer,Medium,Chloe Lim,Direct Sales,2022-03-20,188117.04,34.71,0.01405,0.02,1
M0172,FoodPay Merchant 0172,SMB,Food Delivery,Vietnam,VN Central,Low,Daniel Ho,Direct Sales,2021-03-07,40852.39,21.73,0.01629,0.026,1
M0173,EducationPay Merchant 0173,Mid-Market,Education,Philippines,Philippines Provincial,Low,Bao Tran,Self-Serve,2021-02-01,153571.31,109.94,0.01308,0.02,1
M0174,GamingPay Merchant 0174,Mid-Market,Gaming,Indonesia,Java,Low,Chloe Lim,Direct Sales,2022-12-11,329135.8,26.71,0.01287,0.02,1
M0175,FoodPay Merchant 0175,Mid-Market,Food Delivery,Vietnam,VN South,Low,Minh Pham,Direct Sales,2021-04-29,434740.89,19.13,0.01402,0.02,1
M0176,GamingPay Merchant 0176,Micro,Gaming,Singapore,Singapore,Medium,Minh Pham,Partner,2024-03-29,11186.76,25.14,0.01946,0.032,1
M0177,GamingPay Merchant 0177,Enterprise,Gaming,Indonesia,Indonesia Outer,Low,Nadia Santos,Self-Serve,2021-11-21,168780.53,35.46,0.00891,0.015,1
M0178,GamingPay Merchant 0178,Micro,Gaming,Vietnam,VN Central,Medium,Chloe Lim,Platform Referral,2021-08-10,259394.1,31.4,0.02243,0.032,1
M0179,MarketplacePay Merchant 0179,Mid-Market,Marketplace,Philippines,Metro Manila,Medium,Chloe Lim,Direct Sales,2023-11-19,547645.69,96.6,0.01223,0.02,1
M0180,ServicesPay Merchant 0180,Micro,Services,Thailand,Thailand Provincial,Low,Bao Tran,Self-Serve,2024-06-21,21993.33,53.85,0.02032,0.032,1
M0181,ServicesPay Merchant 0181,Enterprise,Services,Philippines,Metro Manila,Medium,Farah Rahman,Platform Referral,2023-07-22,221908.47,96.55,0.01298,0.015,1
M0182,FoodPay Merchant 0182,SMB,Food Delivery,Vietnam,VN South,Low,Chloe Lim,Direct Sales,2021-07-27,165905.18,26.92,0.01592,0.026,1
M0183,EducationPay Merchant 0183,SMB,Education,Indonesia,Indonesia Outer,Medium,Farah Rahman,Direct Sales,2021-02-18,73131.33,83.25,0.01564,0.026,1
M0184,TravelPay Merchant 0184,Micro,Travel,Thailand,Thailand Provincial,Medium,Farah Rahman,Direct Sales,2023-02-09,23848.23,248.32,0.02194,0.032,1
M0185,UtilitiesPay Merchant 0185,Mid-Market,Utilities,Thailand,Thailand Provincial,Low,Minh Pham,Platform Referral,2022-03-27,74006.47,55.46,0.01417,0.02,1
M0186,GamingPay Merchant 0186,Micro,Gaming,Thailand,Bangkok,Low,Ava Nguyen,Direct Sales,2022-11-24,18464.2,37.13,0.02016,0.032,1
M0187,FoodPay Merchant 0187,Micro,Food Delivery,Vietnam,VN North,Low,Minh Pham,Partner,2021-01-16,17739.29,13.79,0.02106,0.032,1
M0188,UtilitiesPay Merchant 0188,Mid-Market,Utilities,Thailand,Bangkok,High,Chloe Lim,Direct Sales,2023-11-15,445634.03,75.19,0.01335,0.02,1
M0189,ServicesPay Merchant 0189,Micro,Services,Vietnam,VN South,Low,Daniel Ho,Partner,2021-03-21,21506.14,93.57,0.01918,0.032,1
M0190,TravelPay Merchant 0190,SMB,Travel,Vietnam,VN North,Low,Farah Rahman,Partner,2022-05-23,85443.38,144.08,0.01628,0.026,1
M0191,TravelPay Merchant 0191,Mid-Market,Travel,Indonesia,Indonesia Outer,High,Bao Tran,Platform Referral,2022-02-26,266502.34,334.23,0.01316,0.02,1
M0192,RetailPay Merchant 0192,SMB,Retail,Vietnam,VN Central,Medium,Minh Pham,Direct Sales,2021-07-16,27826.02,73.77,0.01687,0.026,1
M0193,MarketplacePay Merchant 0193,Micro,Marketplace,Philippines,Philippines Provincial,Medium,Farah Rahman,Partner,2022-08-28,16586.38,45.37,0.02241,0.032,1
M0194,GamingPay Merchant 0194,SMB,Gaming,Vietnam,VN Central,Low,Farah Rahman,Self-Serve,2021-01-03,133139.43,23.1,0.01963,0.026,1
M0195,FoodPay Merchant 0195,Mid-Market,Food Delivery,Thailand,Bangkok,Medium,Ava Nguyen,Direct Sales,2025-02-08,104941.65,23.93,0.01406,0.02,1
M0196,TravelPay Merchant 0196,SMB,Travel,Indonesia,Java,Medium,Ava Nguyen,Partner,2024-06-16,23587.77,322.89,0.01787,0.026,1
M0197,ServicesPay Merchant 0197,Micro,Services,Indonesia,Java,Low,Chloe Lim,Direct Sales,2022-06-19,2989.44,45.77,0.01914,0.032,1
M0198,ServicesPay Merchant 0198,SMB,Services,Thailand,Thailand Provincial,Low,Daniel Ho,Partner,2023-12-02,57374.13,60.01,0.01957,0.026,1
M0199,FoodPay Merchant 0199,SMB,Food Delivery,Thailand,Thailand Provincial,Medium,Chloe Lim,Self-Serve,2021-03-14,45218.3,24.55,0.01468,0.026,1
M0200,ServicesPay Merchant 0200,Mid-Market,Services,Vietnam,VN South,Low,Chloe Lim,Self-Serve,2021-07-23,72873.02,76.89,0.01537,0.02,1
